,smiles_huckel_DFT_xyz
23302,[Br-]->[Au+]<-P(Cc1ccccc1)(Cc1ccccc1)Cc1ccccc1
23303,Brc1ccc2[O-]->[Mn+3]3456<-[O-]c7ccc(Br)cc7C=N->3CCN->4CCN->5CCN->6=Cc2c1
23304,[Cl-]->[Au+]<-P(Cc1ccccc1)(Cc1ccccc1)Cc1ccccc1
23307,[CH3-]->[Pd+2]1(<-[CH3-])<-n2ccccc2C(=NP->1(c1ccccc1)c1ccccc1)c1ccccc1
23308,C1=Cc2c3ccc4c(-c5ccccc5)c5ccc6c(-c7ccccc7)c7ccc8c(-c9ccccc9)c1n2->[Cu+3](<-[n-]87)(<-[n-]65)<-[n-]43
23309,Cc1cc(C)c(N2=CC=N(c3c(C)cc(C)cc3C)->[Ni]<-2345<-C2=C->3CCC->4=C->5CC2)c(C)c1
23310,Cc1ccn2->[Cd+2]34567(<-[O-][N+]->3(=O)[O-]->4)(<-[O-][N+]->5(=O)[O-]->6)<-N3=C(Nc4cc(C)ccn->74)c4ccccc4C3=Nc2c1
23311,[Cl-]->[Fe+2]12(<-[Cl-])(<-N(=Cc3ccccn->13)c1ccccc1)<-N(=Cc1ccccn->21)c1ccccc1
23312,O=C1[O-]->[Zn+2]2(<-O)(<-O)(<-n3cccc4ccc5cccn->2c5c43)<-[n-]2c1cc(=O)[nH]c2=O
23314,COc1ccc2O(C)->[Co+3]3456<-[N-](C(=O)C(C)N->3(C)CCN->4(C)C(C)C(=O)[N-]->5c3cc(OC)ccc3O->6C)c2c1
23315,CC1C(=O)[N-]2c3cccc4cccn(->[Co+3]<-2567<-n2cccc8cccc([N-]->5C(=O)C(C)N->6(C)CCN->71C)c82)c34
23317,C[N-](C)->[Ta+5]1(<-n2cccn2[BH-](n2cccn2)n2cccn->12)(<-[N-](C)C)(<-[N-](C)C)<-[N-](C)C
23318,CC(C)c1cccc(C(C)C)c1NC1CCN23Cc4ccccn4->[Fe+2]<-2(<-[Cl-])(<-[Cl-])(<-O=1)<-n1ccccc1C3
23319,CC1=C(C)C(C)(P(Cl)(c2ccc(C(c3ccccc3)c3ccccc3)cc2)->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])C(C)=C1C
23320,Cc1c(P(c2ccccc2)(c2ccccc2)->[Rh+]234(<-[Cl-])<-C5=C->2CCC->3=C->4CC5)[nH]c2ccccc12
23322,C(#[C-]->[Au+]<-[C-]#Cc1ccncc1)c1ccncc1
23323,Cc1c(P(c2ccccc2)(c2ccccc2)->[Ir+]234(<-[Cl-])<-C5=C->2CCC->3=C->4CC5)[nH]c2ccccc12
23324,Cc12->[Zr+4]3456789%10(<-[Cl-])(<-[Cl-])<-c1c->3c->4(C)[c-]->52C(c1ccccc1)[c-]->61c->72ccccc->82c->92ccccc->%1021
23325,Cc1c(P(c2ccccc2)(c2ccccc2)->[Rh+]234(<-[Cl-])<-C5=C->2C2CC5C->3=C->42)[nH]c2ccccc12
23326,CC#N->[Rh+]123(<-C4=C->1CCC->2=C->3CC4)<-P(c1ccccc1)(c1ccccc1)c1[nH]c2ccccc2c1C
23328,O=C(NC1CCCC1)c1ccc2Oc3cccc[c-]3->[Au+3](<-[Cl-])(<-[Cl-])<-n2c1
23330,O=C(Cn1cn(->[Zn+2](<-[Cl-])(<-[Cl-])<-n2cnn(CC(=O)c3ccccc3)c2)cn1)c1ccccc1
23331,O=C1c2c(c3c4ccccc4[n-]4->[Ir+3]567(<-[I-])(<-[I-])(<-C8=C->5CCC->6=C->7CC8)<-n5cccc2c5c34)C(=O)N1Cc1ccccc1
23333,[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-N2=CC=CC2=C(c2ccc[n-]->12)N1CCOCCOCCOCCOCC1)<-n1ccccc1
23334,C1=C2OCC(c3ccccc3)[N-]2->[Zn+2]2(<-N3=C1OCC3c1ccccc1)<-N1=C(C=C3OCC(c4ccccc4)[N-]->23)OCC1c1ccccc1
23335,CC(C)(C)P(C(C)(C)C)(C(C)(C)C)->[Rh+]123(<-[Cl-])<-C4=C->1C1CC4C->2=C->31
23336,[Cl-]->[Rh+]123(<-C4=C->1C1CC4C->2=C->31)<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1
23337,[Cl-]->[Ni+2]12(<-[Cl-])(<-n3cc4ccccc4n3Cn3c4ccccc4cn->13)<-n1cc3ccccc3n1Cn1c3ccccc3cn->21
23338,CC(=O)[O-]->[Pd+2]1(<-[O-]C(C)=O)<-n2cc3ccccc3n2Cn2c3ccccc3cn->12
23339,COCCN1Cc2ccccn2->[Ni+2]<-12(<-[Br-])<-n1ccccc1CN->2CCOC
23340,Cc1cccc(C)c1N1=C(CP(c2ccccc2)(c2ccccc2)->[Ni+2]<-1(<-[Br-])<-[Br-])c1ccccc1
23341,Cc1cccc(C)c1N1=C(CP(c2ccccc2)(c2ccccc2)->[Ni+2]<-1(<-[Br-])(<-[Br-])<-O=[PH](c1ccccc1)c1ccccc1)c1ccccc1
23342,CC(C)c1cccc(C(C)C)c1N1=C(CP(c2ccccc2)(c2ccccc2)->[Pd+2]<-1(<-[Br-])<-[Br-])c1ccccc1
23343,Cc1cccc(C)c1N1=C(CP(c2ccccc2)(c2ccccc2)->[Pd+2]<-1(<-[I-])<-[I-])c1ccccc1
23344,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Ni](<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])c(C)c1
23345,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)[C]2->[Ni](<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])c(C)c1
23346,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ni](<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
23347,CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ni](<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
23350,[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-N2=CC=CC2=C(NCc2ccccc2)c2ccc[n-]->12)<-n1ccccc1
23351,O=C1[O-]->[V+5]23(<-[O-2])(<-[NH-]c4cc([N+](=O)[O-])ccc4[O-]->2)<-[O-]N(N=N->3c2ccccc21)c1ccccc1
23352,CC1N->[Pd+2](<-[Cl-])(<-[c-]2cc(Br)ccc21)<-n1ccccc1
23353,CC1N->[Pd+2](<-[Cl-])(<-[c-]2cc(Cl)ccc21)<-n1ccccc1
23354,CC1N->[Pd+2](<-[Cl-])(<-[c-]2cc(F)ccc21)<-n1ccccc1
23355,CC1N->[Pd+2](<-[Cl-])(<-[c-]2cc(Cl)ccc21)<-n1ccccc1
23356,[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5(Cc6ccccc6)c->1(Cc1ccccc1)c->2(Cc1ccccc1)[c-]->3(Cc1ccccc1)c->45Cc1ccccc1
23358,[O+]#[C-]->[Fe+2]1234(<-O[B-](c5c(F)c(F)c(F)c(F)c5F)(c5c(F)c(F)c(F)c(F)c5F)c5c(F)c(F)c(F)c(F)c5F)(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23359,Cc12->[Zr+4]3456789%10%11(<-[Cl-])(<-[Cl-])<-c%12c->3(-c3ccccc3)c->4[c-]->5([Si](C)(C)O->6[Si](C)(C)c->71c->8[c-]->9(-c1ccccc1)c->%102)c->%11%12C
23361,CS(C)(=O)->[Pt+2]1(<-[Cl-])<-[NH-]C(=O)c2cnc3ccccc3n->12
23362,CC#N->[Pt+2](<-[Cl-])(<-[Cl-])<-n1cc(C(N)=O)nc2ccccc21
23363,O=[C-](c1ccc(C(F)(F)F)cc1)->[Fe+2]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45
23365,[Cl-]->[Cu+](<-S=c1cccc[nH]1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23366,[O-2]->[Mo+6]123(<-[O-2])<-[S-]CCN->1(CC[S-]->2)Cc1ccccn->31
23367,[O-2]->[W+6]123(<-[O-2])<-[S-]CCN->1(CC[S-]->2)Cc1ccccn->31
23368,Fc1cc[c-](->[Au+3](<-[Cl-])(<-n2ccccc2)<-P(C2CCCCC2)(C2CCCCC2)C2CCCCC2)cc1
23369,COCC1OP(c2ccccc2)(c2ccccc2)->[Pd+2](<-[Cl-])(<-[Cl-])<-S(C1c1ccccc1)C(C)(C)C
23370,CN1P(Oc2ccccc2)(Oc2ccccc2)->[Mo+2]2345(<-[Cl-])(<-[C-]#[O+])(<-c6c->2c->3[cH-]->4c->56)<-P1(Oc1ccccc1)Oc1ccccc1
23371,[Cl-]->[Ru+2]12345(<-c6c->1c->2[cH-]->3c->46)<-P(CCCCP->5(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
23381,Cc1ccc(N=NN2=N[N-](c3ccc(C)cc3)->[Mo+2]<-23456(<-[C-]#[O+])(<-[C-]#[O+])<-c2c->3c->4[cH-]->5c->62)cc1
23383,Cc12->[Ru+2]345(<-[c-]6ccccc6)(<-c1(C)c->3(C)[c-]->4(C)c->52C)(<-P(C)(C)c1ccccc1)<-P(C)(C)c1ccccc1
23384,CC1=C(C)C2C3P(c4ccccc4)(c4ccccc4)->[Pd+2](<-[I-])(<-[I-])<-[As]2(c2ccccc2)C1C3C
23385,CC1=C(C)C2C3P(c4ccccc4)(c4ccccc4)->[Pd+2](<-[I-])(<-[I-])<-[As]2(c2ccccc2)C1C3C
23386,COC12->[Fe+2]34(<-[C-]#[O+])(<-[N-]=O)(<-C=1(c1ccccc1)C->3(c1ccccc1)=C->42c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23387,OCC1OC2[O-]->[Pd+2]3(<-NCCN->3)<-NC2C(O)C1O
23388,C=C(C)[CH2-]->[Ru+2]1234(<-c5c->1c->2[cH-]->3c->45)(<-P(C)(C)C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23389,CC(C)P1(OCC2C[C-]23COP(C(C)C)(C(C)C)->[IrH+2]<-3<-1(<-[Cl-])<-[C-]#[O+])C(C)C
23390,CC1=N2->[Ni+2]3(<-O)(<-[N-]4C(=O)c5ccccc5S4(=O)=O)<-N(CCC2)CCCN->3C(C)(C)C1
23391,CS1(C)=NP(c2ccccc2)(c2ccccc2)->[Mo](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(N=1)(c1ccccc1)c1ccccc1
23393,Cn1ccn(->[Pd+2](<-[Br-])(<-[Br-])<-n2ccn(C)c2)c1
23394,[Cl-]->[Pd+2]1(<-[Cl-])<-P(c2ccccc2)(c2ccccc2)N(c2ccc(-c3ccc(Br)cc3)cc2)P->1(c1ccccc1)c1ccccc1
23395,CC(C)(C)P1(Cc2cccc3-c4ccccn4->[RuH+]<-1(<-[Cl-])(<-[C-]#[O+])<-n23)C(C)(C)C
23399,[O+]#[C-]->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C](N=Cc1ccccc1)c1ccccc1
23402,CCP(CC)(CC)->[Pt+2]1(<-NCC(=O)[S-]->1)<-P(CC)(CC)CC
23406,Cc12->[Rh+3]3456(<-[Cl-])(<-N(=Cc7ccccn->37)N=C(N)c3ccccn3)<-c1(C)c->4(C)[c-]->5(C)c->62C
23408,S=C=[N-]->[Mn+3]123<-[O-]c4ccccc4C=N->1c1ccccc1N->2=Cc1ccccc1[O-]->3
23409,Cc1cccc(C)c1N1=Cc2ccc3cccc4-c5[nH]c6ccccc6n5->[Fe+2]<-1(<-[Cl-])(<-[Cl-])<-n2c43
23410,Cc1cc(C)c(N2=Cc3ccc4cccc5-c6[nH]c7ccccc7n6->[Fe+2]<-2(<-[Cl-])(<-[Cl-])<-n3c54)c(C)c1
23412,Cc1ncc(CO)c2CN3CCN4Cc5c(CO)cnc(C)c5[O-]->[Mo+6]<-3<-4(<-[O-2])(<-[O-2])<-[O-]c12
23413,Cc1ncc(CO)c2C=N3CCCN4=Cc5c(CO)cnc(C)c5[O-]->[Mo+6]<-3<-4(<-[O-2])(<-[O-2])<-[O-]c12
23414,CC1(C)CCCC(C)(C)N1->[Cu+]<-[Cl-]
23415,CC1c2cccc3C(C)=N(c4c(C(C)C)cccc4C(C)C)->[Zn+2](<-[Cl-])(<-[Cl-])(<-N=1c1c(C(C)C)cccc1C(C)C)<-n23
23416,CC(C#N)c12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->41)c->5c->62C
23417,CC1c2cccc3C(C)=N(c4c(C)cccc4C)->[Zn+2](<-[Cl-])(<-[Cl-])(<-N=1c1c(C)cccc1C)<-n23
23420,Cc1ccc(C#Cc2ccccc2P(->[Au+]<-[Cl-])(c2ccccc2)c2ccccc2)cc1
23421,FC(F)(F)c1cc([N-2]->[Mo+6](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O2CCCC2)cc(C(F)(F)F)c1
23422,CC(C)(C)[CH2-]->[Mo+6](<-[Cl-])(<-[CH2-]C(C)(C)C)(<-[CH2-]C(C)(C)C)<-[N-2]c1cc(C(F)(F)F)cc(C(F)(F)F)c1
23424,CC(C)(C)[CH2-]->[Mo+6](<-[Cl-])(<-[CH2-]C(C)(C)C)(<-[CH2-]C(C)(C)C)<-[N-2]C(c1ccccc1)(c1ccccc1)c1ccccc1
23426,CC1C=CC([CH2-]->[Mn+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])C(C#N)(C#N)C1(C#N)C#N
23427,CC1=CC(=N->[Os+2]2345(<-[Cl-])(<-c6c->2c->3[cH-]->4c->56)<-P1(C(C)C)C(C)C)c1ccccc1
23428,CC(C1CCCCC1)N1=Cc2ccccn2->[Fe+2]<-12(<-[N-]=C=S)(<-[N-]=C=S)<-N(=Cc1ccccn->21)C(C)C1CCCCC1
23429,CC1c2ccccn2->[Pt+2](<-[Cl-])(<-[Cl-])<-N=1c1ccccc1
23430,CC1c2ccccn2->[Pt+2](<-[Cl-])(<-[Cl-])<-N=1c1c(C)cccc1C
23431,CC1c2ccccn2->[Pt+2](<-[Cl-])(<-[Cl-])<-N=1c1c(C(C)C)cccc1C(C)C
23432,CC(C)(C)NC1NCC2=C->[Pd+2]<-2(<-[Cl-])(<-[Cl-])<-S=1
23433,[Cl-]->[Pt+2]12(<-[Cl-])<-C=C->1CNC(=S->2)N1CCOCC1
23434,CC(C)(C)NC1NCC2=C->[Pt+2]<-2(<-[Cl-])(<-[Cl-])<-S=1
23435,[Cl-]->[Pd+2]12(<-[Cl-])<-C=C->1CNC(=S->2)N1CCOCC1
23436,CC1N->[Pd+2](<-[Cl-])(<-[c-]2ccccc21)<-P(CC(Nc1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
23437,[Cl-]->[Pd+2]1(<-[Cl-])<-N(c2ccccc2)C(CP->1(c1ccccc1)c1ccccc1)c1ccccc1
23439,C1c2ccc3ccccc3n2->[Ag+]2(<-N=1C13CN4CN(CN(C4)C1)C3)<-N(=Cc1ccc3ccccc3n->21)C12CN3CN(CN(C3)C1)C2
23440,Cc1cccc(C)c1N1=C(CP(c2ccccc2)(c2ccccc2)->[Rh+]<-1234<-C1=C->2CCC->3=C->4CC1)c1ccccc1
23441,CC#N->[Rh+]1(<-[C-]#[O+])<-N(=C(CP->1(c1ccccc1)c1ccccc1)c1ccccc1)c1c(C)cccc1C
23444,c1ccc(P2(CCP(c3ccccc3)(c3ccccc3)->[Cu+]<-23<-n2ccccc2-c2c(-c4ccccn4)nccn->32)c2ccccc2)cc1
23445,Cc1ccn2->[Cu+]3(<-n4ccc(C)cc4-c2c1)<-P(CCP->3(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
23446,CCOC(=O)c1cccc2C(C)=N(c3c(CC)cccc3CC)->[Ni+2](<-O)(<-[Cl-])(<-[Cl-])<-n12
23447,CCOC(=O)c1cccc2C(C)=N(c3c(C)cccc3C)->[Ni+2](<-[Cl-])(<-[Cl-])<-n12
23448,Cc1ccsc1C=N1CC(C)N->[Co+3]<-12(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-NC(C)CN->2=Cc1sccc1C
23449,CCCN1=Cc2ccccc2[O-]->[Ni+2]<-12<-[O-]c1ccccc1C=N->2CCC
23450,O=C(O)C1=C(C(=O)O)->[Fe]<-1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
23451,[Cl-]->[Cu+](<-n1cccnc1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23452,Cc1cn(->[Cu+](<-[Cl-])(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)ccn1
23454,CNC1=N[N-]2C(C)=C(C)N3=NC(NC)=S->[Au+3]<-3<-2<-[S-]1
23456,COc12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->4([Si](C)(C)C)c->51C(C)N(C)C)c->62[Si](C)(C)C
23457,O=C(O)C=CC(=O)[O-]->[Cd+2](<-O)(<-O)(<-O)(<-O)<-[O-]C(=O)C=CC(=O)O
23458,CC1=C(C)[N-]2N=C([S-]->[Ni+2]<-23<-S=C(N=N->31)c1ccccc1)c1ccccc1
23459,C=CC1(O)C(=O)c23->[Cr]4567(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->4c->52OC)c->6c->731
23460,[Br-]->[Hg+2](<-[Br-])(<-n1ccn(Cn2nnc3ccccc32)c1)<-n1ccn(Cn2nnc3ccccc32)c1
23461,CP(c1ccccc1)(c1ccccc1)->[Pt+2]1(<-[NH-]S(=O)(=O)[NH-]->1)<-P(C)(c1ccccc1)c1ccccc1
23462,[I-]->[Hg+2](<-[I-])(<-n1ccn(Cn2nnc3ccccc32)c1)<-n1ccn(Cn2nnc3ccccc32)c1
23465,Cc12->[Re+5]345(<-[O-2])(<-[CH2-]c6ccccc6)(<-[CH2-]c6ccccc6)<-c1(C)c->3(C)[c-]->4(C)c->52C
23467,Cc1c(C)[c-]2(C)->[Re+5]3(<-[O-2])(<-[I-])(<-[I-])<-c1(C)c->32C
23468,O=S1(=O)c2ccccc2-c2cc[c-]3->[Pt+2](<-[Cl-])(<-n4ccccc4-c3c21)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23472,[O+]#[C-]->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P1(c2ccccc2)CC2=C(CCCCC2)C1
23474,COc1cccc2C=N(CC[NH+](C)C)->[Zn+2]3(<-[N-]=C=S)(<-[O-]c21)<-[O-]c1c(C=N->3CC[NH+](C)C)cccc1OC
23475,Cc1cccn(->[Ag+]2(<-O=C([O-]->2)c2cc(Cl)ccc2[N+](=O)[O-])<-n2cccc(C)c2N)c1N
23478,[Cl-]->[Ir+3]1(<-[Cl-])(<-[Cl-])(<-N=CCN->1)<-n1ccccc1
23479,CP(C)(c1ccccc1)->[W+2]123456(<-[Cl-])(<-[O-]c7c(-c8ccccc8)cccc7-c->17c->2c->3c->4c->5c->67)<-P(C)(C)c1ccccc1
23480,[Cl-]->[Ir+3]1(<-[Cl-])(<-[Cl-])(<-N=CC=N->1)<-n1ccccc1
23481,OC1C=N->[Ir+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-N=1)<-n1ccccc1
23482,[O+]#[C-]->[Mo]12345(<-[C-]#[O+])(<-[C-]#[O+])<-c6c->1c->2c->3(-c1cccc(-c2ccccc2)c1O)c->4c->56
23483,[Br-]->[Zn+2]12(<-NCc3ccccn->13)<-NCc1ccccn->21
23484,[Br-]->[Zn+2]1(<-[Br-])<-NCc2ccccn->12
23485,CC(C)=N1Cc2ccccn2->[Zn+2]<-1(<-[I-])<-[I-]
23486,Cc1ccc2CCc3ccc(C)c45->[Zr+4]6789%10%11%12(<-[Cl-])(<-[Cl-])(<-c%13c->61c->72c->8[c-]->9%13C)<-c4[c-]->%10(C)c->%11c->%1235
23488,CS(C)(=O)->[Ru+2]12345(<-[Cl-])(<-[Cl-])<-c6c->1c->2c->31c->4(c->56)Cc2ccccc2C1
23489,CO.COc1cccc2c1[O-]->[Mo+6]1(<-[O-2])(<-[O-2])<-[O-]C(c3ccncc3)=NN->1=C2
23491,CC(C)c12->[Ru+2]34567(<-[Cl-])(<-c(c->31)c->4(C)c->5c->62)<-N(Cc1ccccc1)CC1CCCN->71
23492,CCN1CC2CCCN2->[Ru+2]<-123456(<-[Cl-])<-c1c->2c->3(C(C)C)c->4c->5c->61C
23493,[Cl-]->[Pd+2](<-[Cl-])(<-NC1CCCCC1)<-NC1CCCCC1
23494,CC(C)c12->[Ru+2]34567(<-[Cl-])(<-NCC8CCCN->38)<-c(c->41)c->5(C)c->6c->72
23495,C[NH2+]CCCN1=Cc2cc(Cl)cc(Br)c2[O-]->[Zn+2]<-1(<-[Cl-])<-[Cl-]
23496,CC1=C(C)[N-]2CCCN3=C(C)C(C)=N(O)->[Co+]<-3<-2(<-N1=O)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
23497,CC1=C(C)[N-]2CCCN3=C(C)C(C)=N(O)->[Co+]<-3<-2(<-N1=O)<-P(C)(c1ccccc1)c1ccccc1
23499,O=[N+]([O-])c1cc([N+](=O)[O-])cc(C23=O->[Zn+2]<-245(<-O=C->4([O-]->5)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)(<-[O-]3)(<-n2cc[nH]c2)<-n2cc[nH]c2)c1
23500,Nc1nc(-c2ccncc2)nc(-c2ccn(->[Zn+2](<-[Cl-])(<-[Cl-])<-n3ccc(-c4nc(N)nc(-c5ccncc5)n4)cc3)cc2)n1
23503,CP(C)(c1ccccc1)->[V-](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(C)(C)c1ccccc1
23504,O=C(O)c1ccc(N2=Cc3ccccn3->[Cu+]<-2(<-[I-])<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
23505,CC(C)P1(Oc2cccc3CP(C(C)(C)C)(C(C)(C)C)->[IrH+2]<-1(<-[Cl-])<-[c-]32)C(C)C
23506,CC(C)(C)P1(Cc2cccc3OP(C(C)(C)C)(C(C)(C)C)->[IrH+2]<-1(<-[Cl-])<-[c-]23)C(C)(C)C
23509,COc1ccc(N2=Cc3ccc[n-]3->[Hf+4]<-23456(<-[CH3-])(<-[CH3-])<-c2(C)c->3(C)c->4(C)[c-]->5(C)c->62C)cc1
23510,Cc1ccc(N2=Cc3ccc[n-]3->[Hf+4]<-23456(<-[CH3-])(<-[CH3-])<-c2(C)c->3(C)c->4(C)[c-]->5(C)c->62C)cc1
23511,N#Cc1ccn(->[Fe+2](<-O)(<-O)(<-[N-]=C=S)(<-[N-]=C=S)<-n2ccc(C#N)cc2)cc1
23513,COc1cccc(NC2=NN(=Cc3ccc([N+](=O)[O-])o3)->[Ni+2]3(<-[S-]2)<-[S-]C(=NN->3=Cc2ccc([N+](=O)[O-])o2)Nc2cccc(OC)c2)c1
23514,CC1=C(C)N(C)[C](->[Ir+3]2345(<-[Cl-])(<-[Cl-])<-c6(C)c->2(C)c->3(C)[c-]->4(C)c->56C)N1C
23516,CC(C)(C)c1cccc2C=N(c3ccccc3)->[Ti+4]3(<-[Cl-])(<-[Cl-])(<-[O-]c21)<-N(=Cc1ccc[n-]->31)c1ccccc1
23517,CC(C)(C)c1cccc2C=N(c3c(F)c(F)c(F)c(F)c3F)->[Ti+4]3(<-[Cl-])(<-[Cl-])(<-[O-]c21)<-N(=Cc1ccc[n-]->31)c1ccccc1
23518,Cc1ccc(S(=O)(=O)NCCC(=O)[O-]->[Cd+2](<-O)(<-O)(<-O)(<-O)<-[O-]C(=O)CCNS(=O)(=O)c2ccc(C)cc2)cc1
23520,Cc1cc(C)n2->[Pd+4]3(<-[CH3-])(<-[CH3-])(<-[CH3-])<-n4c(C)cc(C)n4[BH-](n12)n1c(C)cc(C)n->31
23521,COc1ccc(N=[N-]->[Pd+4]23(<-[CH3-])(<-[CH3-])<-n4c(C)cc(C)n4[BH-](n4c(C)cc(C)n->24)n2c(C)cc(C)n->32)cc1
23522,[Cl-]->[Ti+4]123(<-[Cl-])(<-N[N-]->1c1ccccc1)<-n1cccn1[BH-](n1cccn->21)n1cccn->31
23527,CC(C)c1cccc(C(C)C)c1N1=Cc2cccc(C(C)(C)C)c2[O-]->[Pd+2]<-1(<-[CH3-])<-N(C)=Cc1ccccc1
23528,Cc1cccc(C)c1[N-]1C(C)(C)C=[CH-]->[Ta+5]<-123(<-[CH3-])(<-[CH3-])<-c1(C)c(C)c(C)[c-]->2(C)c->31C
23529,Cc1[nH]ccn1->[Zn+2](<-[Cl-])(<-[Cl-])<-[Cl-]
23530,COc1ccc2nc(-c3ccc([N+](=O)[O-])cc3)cc(C#[C-]->[Ru+2]3456(<-c7c->3c->4[cH-]->5c->67)(<-P(OC)(OC)OC)<-P(OC)(OC)OC)c2c1
23531,CC#N->[Ag+]1<-S2CCOCCS->1Cc1ccccc1OCCOc1ccccc1C2
23532,CS(C)(=O)->[Ru+2](<-[Cl-])(<-[Cl-])(<-n1cc2ccccc2[nH]1)(<-n1cc2ccccc2[nH]1)<-S(C)(C)=O
23533,CS(C)(=O)->[Ru+2](<-[Cl-])(<-[Cl-])(<-n1cc2ccccc2[nH]1)(<-n1cc2ccccc2[nH]1)<-S(C)(C)=O
23535,CC1=N->[Ru+2](<-[Cl-])(<-[Cl-])(<-n2cc3ccccc3[nH]2)(<-n2cc3ccccc3n21)<-S(C)(C)=O
23537,CC1=N->[Ru+2](<-[Cl-])(<-[Cl-])(<-n2cc3ccccc3n21)(<-S(C)(C)=O)<-S(C)(C)=O
23539,Cc1nn(-c2ccccc2)c2-c3ccccn3->[Ir+3]34(<-[c-]5cc(F)cc(F)c5-n5cccn->35)(<-[c-]3cc(F)cc(F)c3-n3cccn->43)<-n12
23540,Cc1cccc(C)c1[N-2]->[V+5](<-[Cl-])(<-[N-]=C(C(C)(C)C)C(C)(C)C)<-[N-]=C(C(C)(C)C)C(C)(C)C
23541,Cc1cccc(C)c1[N-2]->[V+5](<-[CH3-])(<-[N-]=C(C(C)(C)C)C(C)(C)C)<-[N-]=C(C(C)(C)C)C(C)(C)C
23543,CC[c-]12->[Nb+3]3456789(<-[C-]#[O+])(<-[C-]#[O+])(<-c(C)(c->3(C)c->41C)c->52C)<-c1(C)c->6(C)c->7(C)[c-]->8(CC)c->91C
23544,Cc12->[Ti+4]345(<-[Cl-])(<-[Cl-])(<-[N-]=P(c6ccccc6)(c6ccccc6)c6ccccc6)<-c1(C)c->3(C)[c-]->4(C)c->52C
23545,[Cl-]->[Au+3]1(<-[Cl-])<-[O-]Cc2ccccn->12
23546,CN(C)C=O->[Zn+2]1(<-[Cl-])(<-[Cl-])<-n2ccccc2-c2cnc(-c3ccccn3)cn->12
23547,CCCN1=Cc2ccccc2[O-]->[Au+3]<-12<-[O-]c1ccccc1C=N->2CCC
23548,CC1(C)CSCC(C)(C)C2->[Cu+](<-[Cl-])(<-C#21)<-P(C)(C)C
23549,CC1(C)CSCC(C)(C)C2->[Cu+](<-[Br-])(<-C#21)<-P(C)(C)C
